unit_id,retention_fulltime,student_faculty_ratio,applicants,admitted,enrolled_total,enrolled_fulltime,sat_submission_pct,act_submission_pct,religious_affiliation,study_abroad,evening_weekend,undergrad_research,disability_pct,pell_grant_pct,pell_grant_avg,institutional_grant_pct,institutional_grant_avg,loan_pct,loan_avg,any_aid_pct,tuition_fees,coa_instate_oncampus,coa_outofstate_oncampus,control_3,control_4
220181,74.0,12.0,11421,4274.0,374.0,359.0,33.0,66.0,0,1,0,0,0.0,53.0,6112.0,87.0,16407.0,66.0,11319.0,87.0,25858,45898.0,45898.0,1,0
220215,86.0,10.0,1302,777.0,283.0,283.0,11.0,90.0,1,1,0,1,7.0,27.0,4977.0,96.0,13168.0,49.0,12782.0,96.0,25620,39410.0,39410.0,0,1
220473,69.0,12.0,794,517.0,167.0,162.0,25.0,78.0,1,1,0,0,10.91,39.0,5657.0,96.0,6039.0,59.0,7464.0,100.0,21122,36798.0,36798.0,0,1
220516,60.0,11.0,725,723.0,147.0,145.0,0.0,0.0,1,1,1,1,0.0,48.0,5120.0,97.0,21345.0,60.0,6978.0,100.0,36194,52092.0,52092.0,0,1
220604,47.0,10.0,259,257.0,133.0,126.0,0.0,0.0,1,0,1,0,7.0,90.0,6947.0,28.0,6518.0,60.0,8740.0,97.0,12076,19676.0,19676.0,0,1
220613,82.0,13.0,2388,1684.0,589.0,589.0,21.0,69.0,1,1,0,0,8.19,31.0,5922.0,99.0,10596.0,50.0,8103.0,99.0,23790,39460.0,39460.0,0,1
220631,72.0,10.0,3603,2255.0,357.0,345.0,12.0,63.0,0,1,1,1,3.18,45.0,6127.0,66.0,21298.0,39.0,5797.0,100.0,26938,44839.0,44839.0,1,0
220701,77.0,14.0,760,659.0,172.0,171.0,6.0,90.0,0,1,1,1,0.0,46.0,6094.0,82.0,4052.0,24.0,4557.0,99.0,10924,25319.0,25319.0,0,0
220710,71.0,12.0,3383,2061.0,281.0,280.0,0.0,0.0,1,1,0,1,14.16,50.0,5624.0,100.0,26029.0,64.0,5761.0,100.0,39284,56598.0,56598.0,0,1
220862,77.0,16.0,15084,10865.0,1962.0,1932.0,4.0,90.0,0,1,0,1,6.7,64.0,6926.0,59.0,3594.0,47.0,5633.0,95.0,10728,29644.0,34300.0,0,0
220978,80.0,17.0,14989,10356.0,3149.0,3114.0,6.0,93.0,0,1,1,0,4.7,41.0,5868.0,53.0,5148.0,32.0,6461.0,96.0,10266,29482.0,50790.0,0,0
221351,92.0,9.0,6365,3205.0,388.0,381.0,21.0,41.0,1,1,0,1,22.0,17.0,6247.0,99.0,36854.0,60.0,6363.0,100.0,57110,74474.0,74474.0,0,1
221519,89.0,9.0,4703,2676.0,478.0,478.0,17.0,37.0,1,1,0,0,15.85,16.0,5189.0,98.0,34756.0,43.0,5705.0,98.0,56120,74398.0,74398.0,0,1
221661,83.0,19.0,2907,1904.0,703.0,692.0,46.0,60.0,1,1,1,0,0.0,34.0,5859.0,99.0,9894.0,46.0,9375.0,100.0,27300,42300.0,42300.0,0,1
221731,72.0,12.0,902,621.0,188.0,187.0,1.0,74.0,1,1,1,1,0.0,47.0,6172.0,100.0,16733.0,57.0,5826.0,100.0,30814,45172.0,45172.0,0,1
221740,73.0,18.0,10494,8510.0,2489.0,2473.0,7.0,94.0,0,1,0,1,0.0,37.0,5785.0,58.0,4207.0,43.0,7322.0,96.0,10448,28552.0,36616.0,0,0
221759,92.0,18.0,59764,24863.0,6804.0,6794.0,24.0,81.0,0,1,0,1,7.57,16.0,5603.0,88.0,7652.0,30.0,9536.0,96.0,13812,35064.0,54508.0,0,0
221768,77.0,16.0,6077,5360.0,1220.0,1212.0,3.0,98.0,0,1,0,1,9.35,51.0,5979.0,84.0,3135.0,41.0,5852.0,99.0,10560,24204.0,30244.0,0,0
221838,33.0,13.0,9660,6773.0,880.0,876.0,33.0,65.0,0,1,1,0,0.0,55.0,5142.0,28.0,10271.0,49.0,6461.0,75.0,8616,27177.0,40977.0,0,0
221847,78.0,16.0,11538,8784.0,2006.0,1999.0,2.0,95.0,0,1,0,1,5.73,37.0,5472.0,70.0,4632.0,42.0,6448.0,97.0,11376,31758.0,35958.0,0,0
221892,74.0,20.0,2448,1700.0,456.0,456.0,16.0,80.0,1,1,1,1,10.36,38.0,5532.0,100.0,18497.0,46.0,5959.0,100.0,31300,45080.0,45080.0,0,1
221953,63.0,18.0,1660,1198.0,196.0,194.0,0.0,0.0,1,1,1,0,0.0,46.0,6245.0,94.0,17306.0,53.0,6999.0,100.0,29250,47130.0,47130.0,0,1
221971,89.0,9.0,1970,1190.0,358.0,346.0,15.0,78.0,1,1,1,1,8.14,30.0,5353.0,98.0,24791.0,41.0,8059.0,100.0,40025,58131.0,58131.0,0,1
221999,96.0,8.0,45409,2662.0,1630.0,1630.0,27.0,25.0,0,1,1,1,15.0,24.0,5841.0,66.0,61870.0,9.0,12263.0,70.0,67498,94142.0,94142.0,1,0
222178,81.0,13.0,11332,7482.0,906.0,906.0,45.0,24.0,1,1,0,0,0.0,24.0,5800.0,100.0,27890.0,43.0,12061.0,100.0,44200,63262.0,63262.0,0,1
222831,69.0,19.0,6415,5325.0,1494.0,1473.0,47.0,31.0,0,1,0,1,0.0,54.0,5840.0,74.0,3168.0,45.0,6899.0,98.0,8460,25786.0,35626.0,0,0
222983,79.0,11.0,5282,2517.0,357.0,357.0,24.0,8.0,1,1,0,1,12.0,32.0,5808.0,100.0,33422.0,53.0,9765.0,100.0,48680,65992.0,65992.0,0,1
223232,91.0,15.0,46946,24075.0,3427.0,3421.0,32.0,18.0,1,1,0,1,10.55,10.0,5727.0,98.0,25690.0,38.0,15571.0,99.0,58100,78816.0,78816.0,0,1
224004,58.0,16.0,2401,2191.0,176.0,168.0,0.0,0.0,1,1,1,0,8.54,52.0,6277.0,100.0,21737.0,65.0,6168.0,100.0,23500,40566.0,40566.0,0,1
224147,58.0,19.0,12049,10673.0,2237.0,2164.0,46.0,8.0,0,1,1,1,4.53,48.0,6037.0,57.0,2866.0,45.0,6447.0,83.0,9748,27306.0,38352.0,0,0
224226,64.0,16.0,6163,5475.0,614.0,602.0,29.0,15.0,1,1,1,0,8.11,30.0,5928.0,96.0,19529.0,45.0,12090.0,97.0,40190,55876.0,55876.0,0,1
